Date,Truck_ID,Operator_ID,Route,Distance_km,Fuel_Litres,Idle_Minutes,Load_Tonnes,Trip_Hours,Avg_Speed_kmh,Fuel_Efficiency_km_per_L,Expected_Anomaly
2025-01-06,TR003,OP036,West Pit,74.43,40.79,36.4,170.5,3.9,19.1,1.825,0
2025-09-07,TR029,OP001,Crusher,47.59,27.68,34.9,232.9,1.56,30.5,1.719,0
2025-08-05,TR025,OP037,South Pit,45.66,23.28,75.9,67.8,2.5,18.3,1.961,0
2025-01-20,TR017,OP004,East Pit,52.77,29.64,68.0,136.8,1.99,26.6,1.78,0
2025-11-28,TR018,OP002,East Pit,110.53,48.42,26.4,101.5,3.97,27.8,2.283,0
2025-03-22,TR016,OP001,East Pit,100.1,32.44,15.2,121.5,2.77,36.1,3.086,0
2025-04-04,TR030,OP048,South Pit,61.81,25.84,63.2,93.3,3.0,20.6,2.392,0
2025-03-09,TR029,OP026,East Pit,112.14,45.09,47.1,133.8,3.45,32.5,2.487,0
2025-05-02,TR014,OP025,South Pit,114.51,67.06,59.0,212.8,3.51,32.6,1.708,0
2025-03-06,TR017,OP010,West Pit,104.72,62.57,64.5,42.2,3.2,32.7,1.674,0
2025-05-07,TR027,OP019,West Pit,93.58,46.72,88.5,226.5,3.04,30.8,2.003,0
2025-10-24,TR020,OP025,South Pit,79.48,35.39,56.7,186.6,2.38,33.3,2.246,0
2025-06-14,TR010,OP016,West Pit,115.14,43.33,61.9,173.2,5.22,22.1,2.657,0
2025-12-04,TR005,OP036,East Pit,27.95,25.51,81.4,177.2,1.25,22.3,1.096,0
2025-06-14,TR030,OP004,Stockpile,56.62,24.53,84.1,110.0,1.86,30.4,2.308,0
2025-04-11,TR004,OP031,East Pit,23.4,18.16,53.8,190.9,0.63,37.3,1.289,0
2025-10-15,TR009,OP013,East Pit,101.82,47.39,82.7,234.1,5.17,19.7,2.149,0
2025-10-27,TR021,OP022,West Pit,94.12,34.63,51.0,142.6,3.81,24.7,2.718,0
2025-11-11,TR024,OP049,Stockpile,35.35,19.61,40.4,170.0,1.5,23.6,1.803,0
2025-11-21,TR005,OP033,South Pit,99.32,57.75,25.9,126.9,2.96,33.5,1.72,0
2025-01-10,TR005,OP022,Stockpile,61.23,26.1,49.6,80.3,3.05,20.1,2.346,0
2025-07-07,TR025,OP043,Crusher,42.99,28.98,89.1,194.0,1.25,34.3,1.483,0
2025-04-08,TR016,OP024,East Pit,47.6,25.68,8.0,197.4,2.3,20.7,1.854,0
2025-03-31,TR015,OP032,West Pit,38.48,24.05,74.6,81.6,1.26,30.4,1.6,0
2025-03-30,TR030,OP036,West Pit,94.47,36.35,33.3,170.8,3.02,31.3,2.599,0
